Transaction_ID,Product_SKU,Quantity,Delivery_Charges,Coupon_Status,Coupon_Code,Discount_pct,GST,Financial_ID
16679.0,GGOENEBJ079499,1.0,6.5,Used,ELEC10,10.0,0.1,1.0
16680.0,GGOENEBJ079499,1.0,6.5,Used,ELEC10,10.0,0.1,1.0
16696.0,GGOENEBQ078999,2.0,6.5,Not Used,ELEC10,10.0,0.1,1.0
16699.0,GGOENEBQ079099,1.0,6.5,Clicked,ELEC10,10.0,0.1,1.0
16700.0,GGOENEBJ079499,1.0,6.5,Clicked,ELEC10,10.0,0.1,1.0
16701.0,GGOENEBJ079499,1.0,6.5,Clicked,ELEC10,10.0,0.1,1.0
16702.0,GGOENEBJ079499,2.0,6.5,Clicked,ELEC10,10.0,0.1,1.0
16703.0,GGOENEBQ079099,2.0,6.5,Not Used,ELEC10,10.0,0.1,1.0
16704.0,GGOENEBJ079499,1.0,6.5,Used,ELEC10,10.0,0.1,1.0
16710.0,GGOENEBJ079499,1.0,28.78,Clicked,ELEC10,10.0,0.1,1.0
16713.0,GGOENEBQ078999,1.0,6.5,Used,ELEC10,10.0,0.1,1.0
16719.0,GGOENEBJ079499,1.0,6.5,Not Used,ELEC10,10.0,0.1,1.0
16720.0,GGOENEBJ079499,1.0,6.5,Used,ELEC10,10.0,0.1,1.0
16720.0,GGOENEBQ078999,1.0,6.5,Clicked,ELEC10,10.0,0.1,2.0
16721.0,GGOENEBJ079499,1.0,6.5,Clicked,ELEC10,10.0,0.1,1.0
16722.0,GGOENEBJ079499,1.0,6.5,Used,ELEC10,10.0,0.1,1.0
16722.0,GGOENEBQ078999,2.0,6.5,Used,ELEC10,10.0,0.1,2.0
16723.0,GGOENEBB078899,1.0,6.5,Used,ELEC10,10.0,0.1,1.0
16723.0,GGOENEBQ078999,1.0,6.5,Not Used,ELEC10,10.0,0.1,2.0
16724.0,GGOENEBB078899,1.0,6.5,Clicked,ELEC10,10.0,0.1,1.0
16725.0,GGOENEBB078899,1.0,6.5,Clicked,ELEC10,10.0,0.1,1.0
16727.0,GGOENEBB078899,1.0,6.5,Clicked,ELEC10,10.0,0.1,1.0
16731.0,GGOENEBQ078999,2.0,6.5,Clicked,ELEC10,10.0,0.1,1.0
16684.0,GGOENEBQ078999,2.0,6.5,Clicked,ELEC10,10.0,0.1,1.0
16684.0,GGOENEBQ079199,1.0,6.5,Used,ELEC10,10.0,0.1,2.0
16688.0,GGOENEBB078899,1.0,6.5,Used,ELEC10,10.0,0.1,1.0
16689.0,GGOENEBJ079499,1.0,6.5,Used,ELEC10,10.0,0.1,1.0
16694.0,GGOENEBB078899,1.0,6.5,Not Used,ELEC10,10.0,0.1,1.0
16712.0,GGOENEBJ079499,1.0,6.5,Clicked,ELEC10,10.0,0.1,1.0
16732.0,GGOENEBJ079499,1.0,6.5,Clicked,ELEC10,10.0,0.1,1.0
16733.0,GGOENEBB078899,1.0,6.5,Clicked,ELEC10,10.0,0.1,1.0
16736.0,GGOENEBJ079499,1.0,6.5,Used,ELEC10,10.0,0.1,1.0
16879.0,GGOENEBJ079499,1.0,6.5,Used,ELEC10,10.0,0.1,1.0
16880.0,GGOENEBQ078999,2.0,6.5,Not Used,ELEC10,10.0,0.1,1.0
16881.0,GGOENEBJ079499,1.0,6.5,Clicked,ELEC10,10.0,0.1,1.0
16882.0,GGOENEBJ079499,1.0,6.5,Used,ELEC10,10.0,0.1,1.0
16883.0,GGOENEBJ079499,1.0,6.5,Clicked,ELEC10,10.0,0.1,1.0
16886.0,GGOENEBQ078999,1.0,6.5,Clicked,ELEC10,10.0,0.1,1.0
16819.0,GGOENEBJ079499,1.0,6.5,Clicked,ELEC10,10.0,0.1,1.0
16819.0,GGOENEBQ079199,1.0,6.5,Clicked,ELEC10,10.0,0.1,2.0
16822.0,GGOENEBQ079099,3.0,6.5,Clicked,ELEC10,10.0,0.1,1.0
16823.0,GGOENEBJ079499,4.0,6.5,Clicked,ELEC10,10.0,0.1,1.0
16825.0,GGOENEBB078899,1.0,6.5,Clicked,ELEC10,10.0,0.1,1.0
16826.0,GGOENEBJ079499,1.0,6.5,Used,ELEC10,10.0,0.1,1.0
16830.0,GGOENEBJ079499,1.0,6.5,Used,ELEC10,10.0,0.1,1.0
16833.0,GGOENEBJ079499,1.0,6.5,Not Used,ELEC10,10.0,0.1,1.0
16835.0,GGOENEBQ078999,1.0,6.5,Clicked,ELEC10,10.0,0.1,1.0
16836.0,GGOENEBJ079499,2.0,6.5,Used,ELEC10,10.0,0.1,1.0
16836.0,GGOENEBQ079199,2.0,6.5,Clicked,ELEC10,10.0,0.1,2.0
16837.0,GGOENEBQ078999,1.0,6.5,Used,ELEC10,10.0,0.1,1.0
16842.0,GGOENEBJ079499,2.0,6.5,Clicked,ELEC10,10.0,0.1,1.0
16844.0,GGOENEBQ078999,1.0,6.5,Clicked,ELEC10,10.0,0.1,1.0
16846.0,GGOENEBJ079499,2.0,6.5,Used,ELEC10,10.0,0.1,1.0
16847.0,GGOENEBB078899,1.0,6.5,Not Used,ELEC10,10.0,0.1,1.0
16849.0,GGOENEBQ078999,1.0,6.5,Clicked,ELEC10,10.0,0.1,1.0
16851.0,GGOENEBJ079499,2.0,6.5,Used,ELEC10,10.0,0.1,1.0
16853.0,GGOENEBB078899,1.0,6.5,Used,ELEC10,10.0,0.1,1.0
16854.0,GGOENEBJ079499,4.0,6.5,Clicked,ELEC10,10.0,0.1,1.0
16856.0,GGOENEBQ079099,1.0,6.5,Not Used,ELEC10,10.0,0.1,1.0
16857.0,GGOENEBJ079499,1.0,6.5,Clicked,ELEC10,10.0,0.1,1.0
16859.0,GGOENEBJ079499,1.0,6.5,Clicked,ELEC10,10.0,0.1,1.0
16861.0,GGOENEBQ078999,1.0,6.5,Used,ELEC10,10.0,0.1,1.0
16863.0,GGOENEBJ079499,1.0,6.5,Used,ELEC10,10.0,0.1,1.0
16865.0,GGOENEBQ079199,1.0,35.96,Used,ELEC10,10.0,0.1,1.0
16869.0,GGOENEBJ079499,1.0,6.5,Used,ELEC10,10.0,0.1,1.0
16869.0,GGOENEBQ079099,2.0,6.5,Used,ELEC10,10.0,0.1,2.0
16870.0,GGOENEBJ079499,1.0,6.5,Used,ELEC10,10.0,0.1,1.0
16871.0,GGOENEBJ079499,1.0,6.5,Clicked,ELEC10,10.0,0.1,1.0
16872.0,GGOENEBJ079499,1.0,6.5,Not Used,ELEC10,10.0,0.1,1.0
16874.0,GGOENEBB078899,2.0,6.5,Clicked,ELEC10,10.0,0.1,1.0
16875.0,GGOENEBJ079499,1.0,6.5,Clicked,ELEC10,10.0,0.1,1.0
16876.0,GGOENEBJ079499,1.0,6.5,Used,ELEC10,10.0,0.1,1.0
16888.0,GGOENEBJ079499,1.0,28.78,Clicked,ELEC10,10.0,0.1,1.0
16890.0,GGOENEBQ078999,1.0,6.5,Clicked,ELEC10,10.0,0.1,1.0
16896.0,GGOENEBQ078999,2.0,6.5,Clicked,ELEC10,10.0,0.1,1.0
16897.0,GGOENEBJ079499,1.0,6.5,Clicked,ELEC10,10.0,0.1,1.0
16907.0,GGOENEBJ079499,1.0,6.5,Used,ELEC10,10.0,0.1,1.0
16910.0,GGOENEBQ078999,1.0,6.5,Not Used,ELEC10,10.0,0.1,1.0
16912.0,GGOENEBQ079099,5.0,6.5,Used,ELEC10,10.0,0.1,1.0
16914.0,GGOENEBB078899,1.0,6.5,Used,ELEC10,10.0,0.1,1.0
16915.0,GGOENEBB078899,1.0,6.5,Not Used,ELEC10,10.0,0.1,1.0
16916.0,GGOENEBQ079099,2.0,6.5,Clicked,ELEC10,10.0,0.1,1.0
16917.0,GGOENEBJ079499,1.0,6.5,Clicked,ELEC10,10.0,0.1,1.0
16918.0,GGOENEBB078899,1.0,6.5,Clicked,ELEC10,10.0,0.1,1.0
16918.0,GGOENEBJ079499,1.0,6.5,Clicked,ELEC10,10.0,0.1,2.0
16919.0,GGOENEBJ079499,1.0,6.5,Clicked,ELEC10,10.0,0.1,1.0
