Transaction_ID,CustomerID,Transaction_Date
16679.0,17850.0,2019-01-01
16680.0,17850.0,2019-01-01
16696.0,17850.0,2019-01-01
16699.0,17850.0,2019-01-01
16700.0,17850.0,2019-01-01
16701.0,17850.0,2019-01-01
16702.0,17850.0,2019-01-01
16703.0,17850.0,2019-01-01
16704.0,17850.0,2019-01-01
16710.0,17850.0,2019-01-01
16713.0,17850.0,2019-01-01
16719.0,17850.0,2019-01-01
16720.0,17850.0,2019-01-01
16721.0,17850.0,2019-01-01
16722.0,17850.0,2019-01-01
16723.0,17850.0,2019-01-01
16724.0,17850.0,2019-01-01
16725.0,17850.0,2019-01-01
16727.0,17850.0,2019-01-01
16731.0,17850.0,2019-01-01
16684.0,13047.0,2019-01-01
16688.0,13047.0,2019-01-01
16689.0,13047.0,2019-01-01
16694.0,12583.0,2019-01-01
16712.0,15100.0,2019-01-01
16732.0,14688.0,2019-01-01
16733.0,14688.0,2019-01-01
16736.0,14688.0,2019-01-01
16879.0,17850.0,2019-01-03
16880.0,17850.0,2019-01-03
16881.0,17850.0,2019-01-03
16882.0,17850.0,2019-01-03
16883.0,17850.0,2019-01-03
16886.0,17850.0,2019-01-03
16819.0,12431.0,2019-01-03
16822.0,12431.0,2019-01-03
16823.0,12431.0,2019-01-03
16825.0,12431.0,2019-01-03
16826.0,17511.0,2019-01-03
16830.0,17511.0,2019-01-03
16833.0,17511.0,2019-01-03
16835.0,17511.0,2019-01-03
16836.0,17511.0,2019-01-03
16837.0,17511.0,2019-01-03
16842.0,17511.0,2019-01-03
16844.0,17548.0,2019-01-03
16846.0,17548.0,2019-01-03
16847.0,17548.0,2019-01-03
16849.0,13705.0,2019-01-03
16851.0,13705.0,2019-01-03
16853.0,13705.0,2019-01-03
16854.0,13705.0,2019-01-03
16856.0,13705.0,2019-01-03
16857.0,13747.0,2019-01-03
16859.0,13408.0,2019-01-03
16861.0,13408.0,2019-01-03
16863.0,13408.0,2019-01-03
16865.0,13408.0,2019-01-03
16869.0,13767.0,2019-01-03
16870.0,13767.0,2019-01-03
16871.0,13767.0,2019-01-03
16872.0,13767.0,2019-01-03
16874.0,13767.0,2019-01-03
16875.0,13767.0,2019-01-03
16876.0,13767.0,2019-01-03
16888.0,17924.0,2019-01-03
16890.0,13448.0,2019-01-03
16896.0,13448.0,2019-01-03
16897.0,13448.0,2019-01-03
16907.0,15862.0,2019-01-03
16910.0,15862.0,2019-01-03
16912.0,15862.0,2019-01-03
16914.0,15862.0,2019-01-03
16915.0,15862.0,2019-01-03
16916.0,15862.0,2019-01-03
16917.0,15862.0,2019-01-03
16918.0,15862.0,2019-01-03
16919.0,15862.0,2019-01-03
16920.0,15862.0,2019-01-03
16923.0,15862.0,2019-01-03
16924.0,15862.0,2019-01-03
16925.0,15862.0,2019-01-03
16926.0,15862.0,2019-01-03
16928.0,15862.0,2019-01-03
16929.0,15862.0,2019-01-03
16930.0,15862.0,2019-01-03
16931.0,15862.0,2019-01-03
16932.0,15862.0,2019-01-03
16934.0,15862.0,2019-01-03
16935.0,15862.0,2019-01-03
16938.0,15862.0,2019-01-03
16939.0,15862.0,2019-01-03
16942.0,15862.0,2019-01-03
16943.0,15862.0,2019-01-03
16946.0,15862.0,2019-01-03
16947.0,15862.0,2019-01-03
16948.0,15862.0,2019-01-03
16949.0,15862.0,2019-01-03
16950.0,15862.0,2019-01-03
16951.0,15862.0,2019-01-03
16952.0,15513.0,2019-01-03
16953.0,15513.0,2019-01-03
16955.0,15513.0,2019-01-03
16957.0,12791.0,2019-01-03
16958.0,16218.0,2019-01-03
16959.0,16218.0,2019-01-03
16960.0,16218.0,2019-01-03
16963.0,16218.0,2019-01-03
16964.0,16218.0,2019-01-03
16966.0,16218.0,2019-01-03
16969.0,16218.0,2019-01-03
16971.0,16218.0,2019-01-03
16972.0,16218.0,2019-01-03
16975.0,16218.0,2019-01-03
16976.0,16218.0,2019-01-03
16980.0,16218.0,2019-01-03
16984.0,17850.0,2019-01-04
16987.0,17850.0,2019-01-04
16982.0,16218.0,2019-01-04
16994.0,14307.0,2019-01-04
17000.0,14307.0,2019-01-04
17003.0,14307.0,2019-01-04
17004.0,14307.0,2019-01-04
17006.0,14307.0,2019-01-04
17009.0,14307.0,2019-01-04
17010.0,14307.0,2019-01-04
17011.0,14307.0,2019-01-04
17014.0,14307.0,2019-01-04
17019.0,14307.0,2019-01-04
17020.0,14307.0,2019-01-04
17021.0,14307.0,2019-01-04
17022.0,14307.0,2019-01-04
17023.0,17908.0,2019-01-04
17024.0,17908.0,2019-01-04
17025.0,17908.0,2019-01-04
17026.0,17908.0,2019-01-04
17031.0,17908.0,2019-01-04
17034.0,17908.0,2019-01-04
17035.0,17908.0,2019-01-04
17038.0,17908.0,2019-01-04
17039.0,17908.0,2019-01-04
17040.0,17908.0,2019-01-04
17044.0,17908.0,2019-01-04
17046.0,17908.0,2019-01-04
17049.0,17908.0,2019-01-04
17054.0,17908.0,2019-01-04
17055.0,17908.0,2019-01-04
17056.0,17908.0,2019-01-04
17057.0,17908.0,2019-01-04
17060.0,17908.0,2019-01-04
17061.0,17908.0,2019-01-04
17063.0,17908.0,2019-01-04
17064.0,17908.0,2019-01-04
17066.0,17920.0,2019-01-04
17068.0,17920.0,2019-01-04
17072.0,17920.0,2019-01-04
17073.0,17920.0,2019-01-04
17074.0,17920.0,2019-01-04
17075.0,17920.0,2019-01-04
17076.0,17920.0,2019-01-04
17077.0,17920.0,2019-01-04
17082.0,17920.0,2019-01-04
17083.0,17920.0,2019-01-04
17084.0,17920.0,2019-01-04
17085.0,17920.0,2019-01-04
17087.0,17920.0,2019-01-04
17088.0,17920.0,2019-01-04
17090.0,17920.0,2019-01-04
17094.0,17920.0,2019-01-04
17095.0,17920.0,2019-01-04
17096.0,17920.0,2019-01-04
18018.0,17850.0,2019-01-16
18020.0,17850.0,2019-01-16
17949.0,13065.0,2019-01-16
17954.0,14606.0,2019-01-16
17955.0,14606.0,2019-01-16
17956.0,14606.0,2019-01-16
17957.0,14606.0,2019-01-16
17959.0,14606.0,2019-01-16
17960.0,14606.0,2019-01-16
17961.0,14606.0,2019-01-16
17962.0,14606.0,2019-01-16
17965.0,14606.0,2019-01-16
17967.0,14606.0,2019-01-16
17970.0,14606.0,2019-01-16
17971.0,14606.0,2019-01-16
17973.0,14606.0,2019-01-16
17974.0,14606.0,2019-01-16
17975.0,14606.0,2019-01-16
17976.0,14606.0,2019-01-16
17978.0,14606.0,2019-01-16
17983.0,14606.0,2019-01-16
17984.0,14606.0,2019-01-16
17988.0,13576.0,2019-01-16
17994.0,13576.0,2019-01-16
17995.0,13576.0,2019-01-16
17996.0,18011.0,2019-01-16
17998.0,18011.0,2019-01-16
18001.0,18011.0,2019-01-16
18002.0,18011.0,2019-01-16
18004.0,18011.0,2019-01-16
18005.0,18011.0,2019-01-16
18006.0,18011.0,2019-01-16
18007.0,18011.0,2019-01-16
18008.0,18011.0,2019-01-16
18011.0,13090.0,2019-01-16
18012.0,13090.0,2019-01-16
18013.0,15694.0,2019-01-16
18014.0,15694.0,2019-01-16
18015.0,15694.0,2019-01-16
18021.0,17850.0,2019-01-17
18022.0,17850.0,2019-01-17
18023.0,17850.0,2019-01-17
18025.0,17850.0,2019-01-17
18027.0,17850.0,2019-01-17
18029.0,17850.0,2019-01-17
18030.0,17850.0,2019-01-17
18034.0,17850.0,2019-01-17
18035.0,17850.0,2019-01-17
18036.0,17850.0,2019-01-17
18073.0,17850.0,2019-01-17
18074.0,17850.0,2019-01-17
18076.0,17850.0,2019-01-17
18077.0,17850.0,2019-01-17
18078.0,17850.0,2019-01-17
18080.0,17850.0,2019-01-17
18095.0,17850.0,2019-01-17
18096.0,17850.0,2019-01-17
18097.0,17850.0,2019-01-17
18101.0,17850.0,2019-01-17
18037.0,14741.0,2019-01-17
18039.0,14741.0,2019-01-17
18047.0,13715.0,2019-01-17
18048.0,13715.0,2019-01-17
18049.0,13715.0,2019-01-17
18050.0,13715.0,2019-01-17
18051.0,13715.0,2019-01-17
18052.0,13715.0,2019-01-17
18053.0,13715.0,2019-01-17
18054.0,13715.0,2019-01-17
18055.0,13715.0,2019-01-17
18057.0,17732.0,2019-01-17
18059.0,17732.0,2019-01-17
18060.0,17732.0,2019-01-17
18062.0,17732.0,2019-01-17
18063.0,17732.0,2019-01-17
18067.0,17732.0,2019-01-17
18069.0,17732.0,2019-01-17
18070.0,12855.0,2019-01-17
18071.0,12855.0,2019-01-17
18090.0,15752.0,2019-01-17
18091.0,15752.0,2019-01-17
18092.0,15752.0,2019-01-17
18093.0,15752.0,2019-01-17
18103.0,17855.0,2019-01-17
18104.0,17855.0,2019-01-17
18105.0,17855.0,2019-01-17
18106.0,17855.0,2019-01-17
18111.0,17855.0,2019-01-17
18117.0,13941.0,2019-01-17
18118.0,13941.0,2019-01-17
18120.0,13941.0,2019-01-17
18121.0,13941.0,2019-01-17
18122.0,13941.0,2019-01-17
18124.0,17017.0,2019-01-17
18125.0,17017.0,2019-01-17
18128.0,17017.0,2019-01-17
18130.0,17017.0,2019-01-17
18134.0,17017.0,2019-01-17
18137.0,17017.0,2019-01-17
18139.0,14135.0,2019-01-17
18141.0,14135.0,2019-01-17
18210.0,17850.0,2019-01-18
18212.0,17850.0,2019-01-18
18214.0,17850.0,2019-01-18
18217.0,17850.0,2019-01-18
18218.0,17850.0,2019-01-18
18220.0,17850.0,2019-01-18
18222.0,17850.0,2019-01-18
18223.0,17850.0,2019-01-18
18226.0,17850.0,2019-01-18
18228.0,17850.0,2019-01-18
18230.0,17850.0,2019-01-18
18233.0,17850.0,2019-01-18
18235.0,17850.0,2019-01-18
18156.0,15601.0,2019-01-18
18157.0,15601.0,2019-01-18
18158.0,15601.0,2019-01-18
18160.0,15601.0,2019-01-18
18162.0,15601.0,2019-01-18
18164.0,15601.0,2019-01-18
18165.0,15601.0,2019-01-18
18166.0,15601.0,2019-01-18
18168.0,15601.0,2019-01-18
18169.0,15601.0,2019-01-18
18173.0,15601.0,2019-01-18
18175.0,15601.0,2019-01-18
18176.0,15601.0,2019-01-18
18177.0,15601.0,2019-01-18
18186.0,15601.0,2019-01-18
18189.0,13418.0,2019-01-18
18191.0,13418.0,2019-01-18
18193.0,13418.0,2019-01-18
18194.0,13418.0,2019-01-18
18196.0,13418.0,2019-01-18
18197.0,13418.0,2019-01-18
18198.0,13418.0,2019-01-18
18200.0,15658.0,2019-01-18
18202.0,15658.0,2019-01-18
18203.0,15658.0,2019-01-18
18206.0,15658.0,2019-01-18
18207.0,15658.0,2019-01-18
18240.0,14388.0,2019-01-18
18244.0,14388.0,2019-01-18
18249.0,14901.0,2019-01-18
18252.0,14901.0,2019-01-18
18253.0,14901.0,2019-01-18
18254.0,14901.0,2019-01-18
18255.0,14901.0,2019-01-18
18259.0,14901.0,2019-01-18
18260.0,14901.0,2019-01-18
18261.0,14901.0,2019-01-18
18492.0,17850.0,2019-01-21
18494.0,17850.0,2019-01-21
18455.0,14491.0,2019-01-21
18458.0,14060.0,2019-01-21
18460.0,14060.0,2019-01-21
18462.0,15923.0,2019-01-21
18463.0,15923.0,2019-01-21
18467.0,15923.0,2019-01-21
18468.0,15923.0,2019-01-21
18472.0,15923.0,2019-01-21
18473.0,15923.0,2019-01-21
18474.0,15923.0,2019-01-21
18475.0,15923.0,2019-01-21
18476.0,16752.0,2019-01-21
18479.0,16752.0,2019-01-21
18480.0,16752.0,2019-01-21
18483.0,17287.0,2019-01-21
18484.0,17287.0,2019-01-21
18489.0,17287.0,2019-01-21
18490.0,17287.0,2019-01-21
18497.0,17850.0,2019-01-22
18499.0,17850.0,2019-01-22
18500.0,17850.0,2019-01-22
18505.0,17850.0,2019-01-22
18506.0,17850.0,2019-01-22
18507.0,17850.0,2019-01-22
18508.0,17850.0,2019-01-22
18509.0,17850.0,2019-01-22
18510.0,17850.0,2019-01-22
18511.0,17850.0,2019-01-22
18513.0,17850.0,2019-01-22
18516.0,17850.0,2019-01-22
18518.0,17850.0,2019-01-22
18520.0,17850.0,2019-01-22
18521.0,17850.0,2019-01-22
18522.0,17850.0,2019-01-22
18523.0,17850.0,2019-01-22
18524.0,17850.0,2019-01-22
18526.0,17850.0,2019-01-22
18527.0,17850.0,2019-01-22
18528.0,17850.0,2019-01-22
18530.0,17850.0,2019-01-22
18531.0,17850.0,2019-01-22
18532.0,17850.0,2019-01-22
18533.0,17850.0,2019-01-22
18571.0,15922.0,2019-01-22
18535.0,15363.0,2019-01-22
18536.0,12915.0,2019-01-22
18539.0,12915.0,2019-01-22
18540.0,12915.0,2019-01-22
18541.0,12915.0,2019-01-22
18545.0,15544.0,2019-01-22
18546.0,15544.0,2019-01-22
18548.0,15544.0,2019-01-22
18550.0,15544.0,2019-01-22
18551.0,15544.0,2019-01-22
18553.0,15544.0,2019-01-22
18554.0,15544.0,2019-01-22
18555.0,15544.0,2019-01-22
18558.0,15544.0,2019-01-22
18560.0,15738.0,2019-01-22
18564.0,15738.0,2019-01-22
18565.0,16042.0,2019-01-22
18566.0,16042.0,2019-01-22
18567.0,17381.0,2019-01-22
18568.0,17381.0,2019-01-22
18569.0,17381.0,2019-01-22
18570.0,17381.0,2019-01-22
18573.0,15827.0,2019-01-22
18737.0,17850.0,2019-01-24
18738.0,17850.0,2019-01-24
18741.0,17850.0,2019-01-24
18743.0,17850.0,2019-01-24
18744.0,17850.0,2019-01-24
18747.0,17850.0,2019-01-24
18748.0,17850.0,2019-01-24
18749.0,17850.0,2019-01-24
18753.0,17850.0,2019-01-24
18754.0,17850.0,2019-01-24
18757.0,17850.0,2019-01-24
18758.0,17850.0,2019-01-24
18763.0,17850.0,2019-01-24
18765.0,17850.0,2019-01-24
18766.0,17850.0,2019-01-24
18767.0,17850.0,2019-01-24
18769.0,17850.0,2019-01-24
18681.0,16510.0,2019-01-24
18683.0,16510.0,2019-01-24
18684.0,16510.0,2019-01-24
